"Payment type(s)successfully deleted","Payment type(s)successfully deleted"
"Not able to delete the payment type","Not able to delete the payment type"
"Alipay","Alipay"
"Bitcoin","Bitcoin"
"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
"There was an error capturing the transaction, please contact admin","There was an error capturing the transaction, please contact admin"
"There was an error capturing the transaction: %1","There was an error capturing the transaction: %1"
"There was an error refunding the transaction , please contact admin","There was an error refunding the transaction , please contact admin"
"invalid payment type","invalid payment type"
"Authorize","Authorize"
"Your Saved Payment Types","Your Saved Payment Types"
"Select","Select"
"Payment Types","Payment Types"
"Delete","Delete"
"No payment methods available","No payment methods available"
"Back","Back"
" Please select from below cards to proceed "," Please select from below cards to proceed "
"Save this card for future payment","Save this card for future payment"
" Add New Card "," Add New Card "
"Place Order","Place Order"
"Please select a payment type or create a new payment type","Please select a payment type or create a new payment type"
"Not able to process card details , please try again","Not able to process card details , please try again"
"Stripe Payment","Stripe Payment"
"Enabled","Enabled"
"Title","Title"
"Debug","Debug"
"Api Key","Api Key"
"Api Publishable Key","Api Publishable Key"
"Set Name Display on Form","Set Name Display on Form"
"Set Image","Set Image"
"Upload any Image that you want to show on stripe payment popup at frontend","Upload any Image that you want to show on stripe payment popup at frontend"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Paymanet action","Paymanet action"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Sort Order","Sort Order"
"Enable Alipay Checkout","Enable Alipay Checkout"
"Enabled Bitcoin Checkout","Enabled Bitcoin Checkout"
"Saved Stripe Cards","Saved Stripe Cards"
"Stripe Saved Cards","Stripe Saved Cards"
